code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count
8852018800019,Yum yum Thai coconut soup,c,b,FALSE,16,Mauvais,1.7,2,437,kJ,104,2.5,0.8,1.5,,1.7,8,1,4,3,16
8001665712798,GRANDI GIRASOLI GORGONZOLA ET NOIX RANA,c,c,FALSE,54,Bon,7,3.5,315,kcal,315,5.5,0.48,12,5.7,7,0,0,0,0,0
3245411400712,Ravioli 4 fromages,c,c,FALSE,51,Bon,0.457477678571436,3.3,1141,kJ,271,3.4,0.4,11,2.2,0.457477678571436,0,0,0,0,0
8001665712866,"Grandi Girasoli - Ricotta, Epinards & Mascarpone",c,b,FALSE,60,Bon,10,3.8,237,kcal,237,4.1,0.56,11,5.2,10,0,0,0,0,0
6091091000189,Nouilles Instantanées - Saveur Crevettes,c,c,FALSE,45,Mediocre,11.4500000000001,1.1,397,kJ,95,1.6,0.28,2.2,0.9,11.4500000000001,3,1,2,1,5
20969233,,c,b,FALSE,75,Excellent,35,3.1,909,kJ,216,0.7,0.528,6.3,,35,0,0,1,0,2
3240931544342,Lustucru gnocchi a poeler extra fromage xxl 650g,c,a,FALSE,69,Bon,4.3,2.1,965,kJ,230,3,0.52,8.3,1.8,4.3,0,0,0,0,0
3270160812196,"Ravioli aux Cèpes, sauce au Parmigiano Reggiano",c,b,FALSE,66,Bon,7.8,2.3,725,kJ,174,6.2,0.252,7.2,2.1,7.8,0,0,0,2,2
5997523313111,Soba classic,d,c,FALSE,7,Mauvais,9.06181891025642,4.4,206,kcal,206,3.6,0.76,5.9,0,9.06181891025642,4,0,3,3,7
5997523313159,,d,d,FALSE,4,Mauvais,11.5755208333333,4.9,897,kJ,214,4.4,0.92,5,,11.5755208333333,2,0,3,4,7
3166352940054,"Tagliatelles au Poulet 🐔, Champignons🍄Crème",d,e,FALSE,75,Excellent,46.43125,3.3,1291,kJ,306,2.7,0.84,23,2.7,46.43125,0,0,0,0,0
