code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving.1,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count,knn_class,quantile_class
3240931545356,Tortellini basilic parmesan 250g,b,c,False,72,Bon,6.5,2.4,1198.0,kJ,286.0,3.4,0.4,10.0,2.9,6.5,0,0,0,0,0,C,C
8001665705417,Ravioli bio au blé complet épinards ricotta burrata,b,a,True,85,Excellent,19.0,4.1,1064.0,kJ,254.0,2.6,0.384,9.9,3.7,19.0,0,0,0,0,0,C,D
3270160867431,"Ravioli ricotta épinard, sauce à la tomate",b,b,False,78,Excellent,52.73125,4.0,121.0,kcal,121.0,1.9,0.32,5.4,1.8,52.73125,0,0,0,1,1,C,D
4002359752100,Vermicelles,b,c,False,78,Bon,0.0,0.8,453.0,kJ,107.0,0.1,0.004,0.5,1.4,0.0,0,0,0,0,0,A,A
3038352880909,Le Ravioli Bolognaise sans conservateur,b,c,False,72,Bon,11.47403846,1.9,433.0,kJ,103.0,1.7,0.34,4.5,1.3,11.47403846,0,0,0,1,1,C,D
3021690011050,Ravioli 6 légumes,b,b,False,75,Excellent,34.35,2.3,316.0,kJ,75.0,0.5,0.308,2.7,1.8,34.35,0,0,0,0,0,B,B
3564707101981,Ravioli Ricotta Epinards,b,a,True,85,Excellent,11.0,2.8,1031.0,kJ,244.0,2.0,0.56,8.6,3.4,11.0,0,0,0,0,0,D,C
3021690029093,Ravioli pur boeuf français,b,b,False,75,Excellent,42.95,1.9,391.0,kJ,84.0,0.8,0.34,3.7,1.1,42.95,0,0,0,0,0,B,C
5905279248069,Gyoza poulet,b,c,False,72,Bon,41.88928223,1.7,712.0,kJ,170.0,1.1,0.44,7.6,1.9,41.88928223,0,0,0,0,0,B,C
20263812,Ravioli Pur Bœuf,b,b,False,69,Bon,12.478125,1.4,91.0,kcal,91.0,0.8,0.34,3.8,0.8,12.478125,0,0,1,1,2,C,D
3240931545066,Gnocchi à poêler,b,b,False,75,Excellent,6.375,1.5,801.0,kJ,190.0,0.3,0.44,5.0,2.6,6.375,0,0,0,1,1,C,D
3242272251354,Tortellini chèvre sauce tomate,b,c,False,75,Excellent,17.30179398,1.7,674.0,kJ,161.0,2.5,0.28,6.1,2.5,17.30179398,0,0,0,0,0,B,B
5410028120126,Chinese Eiermie,b,b,False,75,Excellent,0.0,2.3,1517.0,kJ,358.0,0.7,0.368,12.5,2.5,0.0,0,0,0,1,1,C,D
3240931545332,Girasoli cèpes parmesan,b,b,False,72,Bon,21.7,7.1,1048.0,kJ,249.0,2.6,0.44,8.1,2.9,21.7,0,0,0,0,0,D,D
336789,Spinach Ricotta Tortelloni,b,c,False,66,Bon,13.5,1.4,758.0,kJ,161.0,1.1,0.14,6.3,1.7,13.5,0,0,1,0,1,C,D
3564700318621,Ravioli Bœuf et Oignons,b,c,False,66,Bon,2.7,5.4,1091.0,kJ,259.0,1.9,0.336,11.0,1.8,2.7,0,0,1,0,1,C,D
3281780897081,Salade Tokyo,b,b,False,54,Bon,45.83125,4.9,569.0,kJ,136.0,0.7,0.48,4.8,3.1,45.83125,0,1,1,1,3,E,E
3270160570614,"Cannelloni ricotta, épinards",b,c,False,69,Bon,13.82109375,2.8,138.0,kcal,138.0,3.6,0.2,6.6,1.2,13.82109375,0,0,1,1,2,D,D
3180950015716,Spaetzle,b,b,False,72,Bon,0.395,0.5,744.0,kJ,174.0,0.7,0.316,6.0,,0.395,0,0,0,0,0,B,C
3456300007992,Ravioli chèvre et ciboulette,b,a,True,82,excellent,39.9,4.9,366.0,kJ,87.0,0.6,0.216,3.0,1.8,39.9,0,0,0,0,0,B,B
3021690029154,Ravioli pur boeuf,b,a,True,100,excellent,28.99,1.0,87.0,kcal,87.0,0.5,0.256,3.5,1.9,28.99,0,0,0,0,0,B,B
7610848004028,Bio Knöpfli,b,b,True,85,excellent,10.3125,2.5,659.0,kJ,156.0,0.6,0.372,6.0,1.4,10.3125,0,0,0,0,0,C,C
3564707135481,Ravioli bio emmental basilic,b,b,True,82,excellent,0.0,2.3,1117.0,kJ,265.0,2.7,0.52,9.3,3.0,0.0,0,0,0,0,0,C,C
3350033750302,Ravioli Ricotta épinards,b,b,True,82,excellent,11.0625,2.1,1071.0,kJ,315.0,1.7,0.56,9.0,3.1,11.0625,0,0,0,0,0,C,C
3266140061234,Ravioli champignons ail des ours,b,a,True,76,excellent,15.1,2.7,261.0,kcal,261.0,2.6,0.44,8.6,3.3,15.1,0,0,0,0,0,D,C
3256228951656,Girasoli pesto basilic,b,c,True,67,bon,0.0,0.5,1157.0,kJ,276.0,2.8,0.48,10.0,3.3,0.0,0,0,0,1,1,D,D
3700019520878,Nouilles de riz,b,d,True,82,excellent,0.0,0.0,1542.0,kJ,363.0,0.0,0.12,6.3,1.0,0.0,0,0,0,0,0,B,B
3760020507800,Ravioli épinard ricotta Bio,b,a,True,79,excellent,40.72,4.6,375.0,kJ,89.0,1.1,0.256,2.7,1.7,40.72,0,0,0,0,0,B,C
3245413942876,Ravioli bio carrefour emmental basilic,b,a,True,82,excellent,0.0,2.3,1117.0,kJ,265.0,2.7,0.52,9.3,3.0,0.0,0,0,0,0,0,C,C
3493833100387,Ravioli au Bœuf Bio - 340 g,b,a,True,85,excellent,0.0,2.0,269.0,kJ,71.0,0.5,0.2,3.0,0.0,0.0,0,0,0,0,0,B,B
3257982267397,Ravioli Ricotta Epinards,b,a,True,82,excellent,11.6,2.799999952,244.0,kcal,244.0,2.0,0.55999999,8.600000381,3.4,11.6,0,0,0,0,0,D,C
3222473658503,Ravioli ricotta épinard BIO,b,a,True,94,excellent,10.0,1.4,1007.0,kJ,,2.4,0.264,8.6,2.0,10.0,0,0,0,0,0,C,C
7610848552895,Gemüse spätzli,b,a,True,88,excellent,19.234375,1.8,656.0,kj,155.0,0.5,0.4,6.9,1.9,19.234375,0,0,0,0,0,B,B
3760098459506,Gnocchi traditionnel à poêler BIO 300g,b,b,True,85,excellent,0.0,0.8,610.0,kJ,144.0,0.0,0.308,2.8,2.4,0.0,0,0,0,0,0,A,B
3250390287735,Farfalles,b,b,False,90,Excellent,0.0,6.3,1502.0,kJ,,0.3,0.004,10.8,0.0,0.0,0,0,0,0,0,E,C
20163105,Hagebutte mit Hibiskus,b,b,False,90,Excellent,0.0,0.2,2.0,kcal,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,A,A
3560071486587,Ravioli bolognaise,b,d,False,82,Excellent,11.5,2.2,108.0,kcal,108.0,1.6,0.4,5.3,1.1,11.5,0,0,0,0,0,C,C
3021690023909,Ravioli pur Bœuf sauce tomate cuisinée,b,b,False,75,Excellent,32.72375,3.3,369.0,kJ,88.0,0.9,0.292,3.7,1.7,32.72375,0,0,0,0,0,B,C
7610849657766,Lasagne alla bolognese,b,d,False,75,Excellent,5.201171875,0.9,136.0,kcal,136.0,2.6,0.4,9.8,1.5,5.201171875,0,0,0,0,0,C,C
3564700005965,Ravioli Bolognaise (Riche en viande),b,b,False,75,Excellent,10.52634766,3.0,101.0,kcal,101.0,1.2,0.28,5.0,1.5,10.52634766,0,0,0,0,0,B,C
3564700005941,"Ravioli (Pur Bœuf, Sauce à l'italienne)",b,c,False,75,Excellent,13.421875,2.7,86.0,kcal,86.0,0.8,0.28,4.0,1.5,13.421875,0,0,0,0,0,B,C
3245413965547,Ravioli,b,b,False,75,Bon,11.921875,2.5,456.0,kJ,109.0,1.0,0.284,4.2,1.9,11.921875,0,0,0,0,0,B,C
20263836,,b,c,False,75,Excellent,0.0,0.1,358.0,kcal,358.0,0.1,0.04,0.3,3.7,0.0,0,0,0,0,0,B,B
3222475412431,Ravioli au fromage sauce tomate,b,c,False,72,Bon,8.046875,2.3,396.0,kj,94.0,1.3,0.308,3.5,1.7,8.046875,0,0,0,1,1,C,D
3021690011104,Ravioli Bolognaise (Sauce Riche en Bœuf),b,b,False,72,Bon,39.96710526,3.2,100.0,kcal,100.0,1.5,0.3,4.4,1.7,39.96710526,0,0,0,0,0,C,C
8853662006833,Nouilles Soba,b,b,False,72,Bon,0.0,0.0,2222.0,kJ,523.0,0.0,0.282,13.2,,0.0,0,0,0,0,0,B,C
3021690011111,Ravioli Bolognaise (Sauce Riche en Bœuf) Format Familial,b,b,False,72,Bon,39.96710526,3.2,100.0,kcal,100.0,1.5,0.332,4.4,1.7,39.96710526,0,0,0,0,0,C,C
7627535394898,"Mah Mee, au poulet",b,d,False,72,Bon,26.2920801,2.1,591.0,kJ,141.0,0.7,0.44,7.9,1.4,26.2920801,0,0,1,0,1,C,D
3263851612311,Cannelloni Pur boeuf,b,d,False,69,Bon,15.820935,2.9,115.0,kcal,115.0,1.5,0.312,4.9,1.8,15.820935,0,0,1,0,1,C,C
3263851612090,Cannelloni pur boeuf,b,d,False,69,Bon,16.425,3.0,127.0,kcal,127.0,1.7,0.36,5.0,,16.425,0,0,1,0,1,C,D
3256222414225,Ravioli,b,c,False,69,Bon,21.9625,3.0,84.0,kcal,84.0,0.8,0.324,3.7,1.7,21.9625,0,0,1,2,3,E,D
3270160492510,Cannelloni Bolognaise,b,d,False,66,Bon,31.85323822,1.7,123.0,kcal,123.0,3.1,0.296,7.2,1.9,31.85323822,0,0,1,1,2,C,D
3261055861009,Ravioli Pur Boeuf - L'Assiette XXL - 350 g - Panzani,b,b,False,60,Bon,0.0,2.5,79.0,kcal,79.0,0.8,0.38,3.4,0.0,,0,0,2,1,3,E,E
3250392299163,Ravioli bœuf aux oeufs frais,b,b,False,57,Bon,1.7,2.4,994.0,kJ,236.0,2.7,0.448,10.7,3.0,1.7,0,0,1,1,2,C,D
27063460,Macaroni ‘tomato’,b,c,False,48,Médiocre,19.0,2.9,646.0,kJ,223.0,0.1,0.376,4.4,1.4,19.0,1,2,2,3,8,E,E
3175681061941,Coquillettes sans gluten - Coquillettes,b,b,False,48,Médiocre,0.0,0.2,1547.0,kJ,365.0,1.0,0.1016,7.1,1.3,0.0,1,0,0,0,1,E,E
8005121044089,Spaghetti Mais e Riso,b,b,False,48,Médiocre,0.0,0.55,1510.0,kJ,356.0,0.59,0.0012,6.2,1.65,0.0,0,0,0,0,0,B,B
3560070708000,Ravioli Boeuf,b,b,False,45,Médiocre,4.0015625,2.0,259.0,kcal,259.0,2.9,0.344,8.4,2.5,4.0015625,1,0,1,0,2,E,D
8852018101024,Instantnudeln - Chicken Flavour,c,d,False,36,Mediocre,2.3,0.3,332.0,kJ,80.0,1.8,0.316,1.2,,2.3,2,1,2,2,7,E,E
3240931547138,Gnocchi a poeler extra fromage 285g,c,b,False,69,Bon,4.3,2.1,965.0,kJ,230.0,3.0,0.52,8.3,1.8,4.3,0,0,0,0,0,D,C
8852018101017,YumYum - Beef Flavor,c,b,False,33,Mediocre,0.75,0.7,318.0,kJ,76.0,1.8,0.32,1.2,,0.75,2,2,2,4,10,E,E
8410300349952,,c,c,False,3,Mauvais,0.0,0.452,1203.0,kJ,287.0,6.0,0.335,2.13,0.0323,0.0,1,0,3,5,9,E,E
8852018101062,Nouilles Instantanées Légumes,c,d,False,36,Mediocre,0.026863445,3.2,2014.0,kJ,76.0,10.0,1.8,8.0,,0.026863445,9,1,3,2,15,E,E
8008343201179,gnocchi di patate,c,a,False,54,Bon,0.0,0.1,666.0,kJ,159.0,0.1,0.56,5.0,1.6,0.0,0,1,0,1,2,C,D
3038352881005,PZ RAVIOLI BOLO 800GR,c,b,False,72,Bon,11.60625,1.9,103.0,kcal,103.0,1.7,0.34,4.5,0.7,11.60625,0,0,0,1,1,C,D
8852018101031,"Nouilles Instantanées, saveur Canard",c,d,False,36,Mediocre,0.550649007,1.1,365.0,kJ,87.0,1.7,0.5,1.5,,0.550649007,6,1,2,2,11,E,E
